question_id,n_methods,methods,outcomes
372,4,ELM|PB_J|RMU-LAT|RepNoise,forgotten|suppressed
373,4,ELM|PB_J|RR|TAR,forgotten|suppressed
375,1,TAR,forgotten
376,4,ELM|GradDiff|PB_J|TAR,suppressed
397,4,ELM|PB_J|RMU-LAT|TAR,forgotten|suppressed
399,1,ELM,suppressed
400,5,ELM|GradDiff|RMU-LAT|RepNoise|TAR,forgotten|suppressed
405,5,GradDiff|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
407,3,ELM|PB_J|RepNoise,forgotten|suppressed
411,3,GradDiff|PB_J|RR,forgotten|suppressed
414,4,ELM|RMU-LAT|RR|TAR,forgotten|suppressed
415,3,ELM|GradDiff|RepNoise,forgotten|suppressed
422,3,PB_J|RepNoise|TAR,forgotten|suppressed
424,2,GradDiff|RMU-LAT,forgotten|suppressed
436,2,PB_J|RepNoise,forgotten
438,3,GradDiff|PB_J|RepNoise,forgotten|suppressed
443,3,ELM|PB_J|RMU-LAT,forgotten|suppressed
462,1,ELM,suppressed
478,4,ELM|GradDiff|RMU-LAT|RepNoise,forgotten|suppressed
482,5,GradDiff|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
485,5,ELM|GradDiff|RR|RepNoise|TAR,forgotten|suppressed
497,2,RR|RepNoise,suppressed
519,1,RepNoise,suppressed
523,3,GradDiff|RMU-LAT|RepNoise,forgotten|suppressed
532,1,GradDiff,forgotten
534,3,ELM|GradDiff|TAR,suppressed
545,1,TAR,suppressed
552,3,GradDiff|PB_J|RepNoise,suppressed
559,3,PB_J|RMU-LAT|RR,forgotten|suppressed
566,5,GradDiff|PB_J|RMU-LAT|RepNoise|TAR,suppressed
568,5,ELM|GradDiff|RMU-LAT|RepNoise|TAR,forgotten|suppressed
570,1,RR,forgotten
576,4,ELM|PB_J|RepNoise|TAR,forgotten|suppressed
577,4,PB_J|RMU-LAT|RepNoise|TAR,suppressed
584,6,GradDiff|PB_J|RMU-LAT|RR|RepNoise|TAR,suppressed
587,5,ELM|PB_J|RR|RepNoise|TAR,suppressed
591,3,GradDiff|PB_J|RR,forgotten|suppressed
594,3,RMU-LAT|RR|RepNoise,forgotten
604,1,TAR,suppressed
605,1,RepNoise,suppressed
617,1,TAR,suppressed
622,1,RepNoise,suppressed
624,2,PB_J|RMU-LAT,suppressed
633,1,RR,suppressed
638,1,TAR,suppressed
641,3,GradDiff|RR|TAR,suppressed
642,4,PB_J|RMU-LAT|RR|TAR,forgotten|suppressed
644,5,ELM|GradDiff|RMU-LAT|RepNoise|TAR,forgotten|suppressed
645,1,TAR,suppressed
649,3,PB_J|RepNoise|TAR,suppressed
652,6,ELM|GradDiff|PB_J|RMU-LAT|RR|TAR,forgotten|suppressed
654,6,ELM|GradDiff|PB_J|RMU-LAT|RR|TAR,forgotten|suppressed
658,3,ELM|RR|RepNoise,forgotten|suppressed
661,3,RMU-LAT|RepNoise|TAR,forgotten|suppressed
667,1,RMU-LAT,forgotten
669,1,ELM,suppressed
672,5,GradDiff|PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
675,3,PB_J|RMU-LAT|RepNoise,forgotten|suppressed
678,3,PB_J|RepNoise|TAR,forgotten|suppressed
681,1,RR,suppressed
687,1,GradDiff,suppressed
693,2,PB_J|TAR,forgotten|suppressed
696,1,TAR,suppressed
700,2,RepNoise|TAR,forgotten|suppressed
702,2,ELM|PB_J,forgotten
703,2,RMU-LAT|TAR,forgotten
706,6,ELM|GradDiff|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
707,4,PB_J|RR|RepNoise|TAR,forgotten|suppressed
709,2,ELM|RepNoise,suppressed
712,3,GradDiff|PB_J|RepNoise,forgotten|suppressed
713,3,ELM|RMU-LAT|TAR,forgotten|suppressed
720,3,ELM|PB_J|RR,forgotten|suppressed
722,3,GradDiff|PB_J|RepNoise,forgotten|suppressed
724,3,ELM|PB_J|RMU-LAT,forgotten
726,5,ELM|GradDiff|RMU-LAT|RepNoise|TAR,forgotten|suppressed
730,2,RepNoise|TAR,suppressed
732,3,RR|RepNoise|TAR,forgotten|suppressed
733,2,RR|TAR,forgotten|suppressed
739,6,GradDiff|PB_J|RMU-LAT|RR|RepNoise|TAR,forgotten|suppressed
746,2,PB_J|RepNoise,forgotten
749,2,RR|TAR,forgotten|suppressed
750,1,RepNoise,suppressed
751,2,ELM|TAR,forgotten|suppressed
752,2,ELM|TAR,suppressed
760,6,ELM|GradDiff|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
763,1,RepNoise,suppressed
764,3,ELM|PB_J|RepNoise,suppressed
769,3,ELM|PB_J|RepNoise,suppressed
779,3,ELM|RMU-LAT|RepNoise,suppressed
781,4,ELM|RMU-LAT|RepNoise|TAR,suppressed
786,3,PB_J|RMU-LAT|RR,forgotten|suppressed
788,1,RepNoise,suppressed
793,4,ELM|GradDiff|PB_J|RepNoise,forgotten|suppressed
798,6,ELM|PB_J|RMU-LAT|RR|RepNoise|TAR,suppressed
799,2,RMU-LAT|RepNoise,suppressed
805,3,GradDiff|PB_J|RepNoise,forgotten|suppressed
806,1,RR,suppressed
807,3,ELM|RR|TAR,forgotten|suppressed
812,1,RMU-LAT,suppressed
816,2,RR|RepNoise,forgotten|suppressed
817,1,ELM,suppressed
818,1,RR,forgotten
820,4,ELM|PB_J|RR|TAR,forgotten|suppressed
821,3,GradDiff|RepNoise|TAR,suppressed
824,3,PB_J|RR|TAR,forgotten|suppressed
830,1,RR,suppressed
831,3,ELM|RepNoise|TAR,suppressed
836,3,ELM|RepNoise|TAR,suppressed
838,1,RMU-LAT,suppressed
840,2,RR|RepNoise,suppressed
842,2,RR|RepNoise,suppressed
843,2,RepNoise|TAR,suppressed
851,2,ELM|RR,suppressed
852,2,PB_J|RepNoise,forgotten|suppressed
853,3,GradDiff|PB_J|RepNoise,forgotten|suppressed
855,3,PB_J|RR|RepNoise,forgotten|suppressed
860,3,RR|RepNoise|TAR,forgotten|suppressed
861,2,RepNoise|TAR,suppressed
863,6,ELM|GradDiff|PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
867,4,ELM|RR|RepNoise|TAR,forgotten|suppressed
869,1,RepNoise,suppressed
871,3,RR|RepNoise|TAR,suppressed
873,3,ELM|RR|RepNoise,suppressed
877,4,GradDiff|PB_J|RR|TAR,forgotten|suppressed
880,4,ELM|PB_J|RMU-LAT|RepNoise,suppressed
882,1,TAR,suppressed
884,1,RepNoise,suppressed
889,1,ELM,suppressed
893,1,RepNoise,suppressed
894,2,RMU-LAT|TAR,suppressed
900,1,RR,suppressed
903,3,ELM|PB_J|RepNoise,forgotten|suppressed
906,6,ELM|GradDiff|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
908,1,RR,forgotten
912,1,PB_J,suppressed
915,4,RMU-LAT|RR|RepNoise|TAR,forgotten|suppressed
916,2,ELM|TAR,forgotten|suppressed
917,4,ELM|GradDiff|RMU-LAT|TAR,suppressed
919,4,ELM|GradDiff|RMU-LAT|TAR,forgotten|suppressed
921,5,ELM|GradDiff|RMU-LAT|RepNoise|TAR,forgotten|suppressed
926,3,ELM|RR|TAR,forgotten|suppressed
928,2,RMU-LAT|RepNoise,suppressed
933,2,RR|TAR,forgotten|suppressed
946,3,ELM|PB_J|RepNoise,suppressed
947,4,GradDiff|PB_J|RR|TAR,suppressed
949,4,PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
951,5,GradDiff|PB_J|RR|RepNoise|TAR,suppressed
960,3,ELM|RMU-LAT|TAR,forgotten|suppressed
961,2,RepNoise|TAR,forgotten|suppressed
962,3,RMU-LAT|RR|TAR,forgotten|suppressed
967,2,ELM|RepNoise,suppressed
973,4,GradDiff|PB_J|RMU-LAT|RepNoise,forgotten|suppressed
975,2,PB_J|RMU-LAT,forgotten|suppressed
977,2,ELM|GradDiff,forgotten
978,2,ELM|RMU-LAT,forgotten
981,1,RepNoise,forgotten
992,4,GradDiff|PB_J|RR|TAR,forgotten|suppressed
993,2,RMU-LAT|RepNoise,forgotten|suppressed
994,5,ELM|GradDiff|RMU-LAT|RR|TAR,forgotten|suppressed
996,3,ELM|GradDiff|TAR,forgotten|suppressed
998,2,PB_J|RMU-LAT,suppressed
1000,3,GradDiff|RR|TAR,suppressed
1007,1,PB_J,forgotten
1008,4,ELM|GradDiff|PB_J|RepNoise,suppressed
1009,4,GradDiff|PB_J|RepNoise|TAR,forgotten|suppressed
1012,4,GradDiff|PB_J|RR|RepNoise,suppressed
1013,2,RMU-LAT|TAR,suppressed
1014,4,PB_J|RMU-LAT|RR|RepNoise,forgotten|suppressed
1020,3,PB_J|RepNoise|TAR,suppressed
1028,3,ELM|GradDiff|TAR,forgotten|suppressed
1029,5,ELM|RMU-LAT|RR|RepNoise|TAR,forgotten|suppressed
1031,2,RepNoise|TAR,suppressed
1034,1,TAR,forgotten
1037,3,ELM|RMU-LAT|TAR,suppressed
1039,4,ELM|GradDiff|RepNoise|TAR,suppressed
1043,1,PB_J,suppressed
1046,1,RMU-LAT,suppressed
1054,6,ELM|GradDiff|PB_J|RMU-LAT|RepNoise|TAR,forgotten|suppressed
1056,3,ELM|PB_J|RepNoise,suppressed
1057,3,GradDiff|RMU-LAT|RepNoise,forgotten|suppressed
1058,2,ELM|RepNoise,suppressed
1059,2,GradDiff|PB_J,suppressed
1060,3,ELM|PB_J|RMU-LAT,forgotten|suppressed
1062,4,GradDiff|PB_J|RR|RepNoise,forgotten|suppressed
1069,1,TAR,suppressed
1081,1,ELM,suppressed
1087,3,PB_J|RMU-LAT|RepNoise,suppressed
1089,2,ELM|TAR,forgotten|suppressed
1091,2,PB_J|RepNoise,suppressed
1093,7,ELM|GradDiff|PB_J|RMU-LAT|RR|RepNoise|TAR,suppressed
1095,5,ELM|GradDiff|PB_J|RMU-LAT|RR,forgotten|suppressed
1097,1,RR,suppressed
1100,3,GradDiff|RR|RepNoise,forgotten|suppressed
1102,5,ELM|GradDiff|PB_J|RepNoise|TAR,suppressed
1109,4,ELM|PB_J|RepNoise|TAR,forgotten|suppressed
1111,5,ELM|PB_J|RR|RepNoise|TAR,forgotten|suppressed
1117,2,GradDiff|PB_J,forgotten|suppressed
1120,3,GradDiff|RMU-LAT|RR,suppressed
1121,3,PB_J|RepNoise|TAR,suppressed
1124,3,ELM|RMU-LAT|RR,forgotten|suppressed
1126,2,PB_J|RepNoise,forgotten
1129,2,RepNoise|TAR,suppressed
1135,3,ELM|PB_J|RepNoise,suppressed
1136,3,RMU-LAT|RR|TAR,suppressed
1138,2,ELM|RepNoise,suppressed
1146,1,ELM,suppressed
1147,1,PB_J,suppressed
1149,2,ELM|RMU-LAT,suppressed
1151,1,TAR,suppressed
1154,3,GradDiff|PB_J|RepNoise,forgotten|suppressed
1155,2,PB_J|RepNoise,forgotten|suppressed
1157,2,ELM|PB_J,forgotten|suppressed
1160,2,GradDiff|RMU-LAT,forgotten|suppressed
1161,3,ELM|PB_J|TAR,forgotten|suppressed
1165,2,PB_J|RepNoise,forgotten|suppressed
1169,2,PB_J|RepNoise,suppressed
1171,1,TAR,forgotten
1172,2,PB_J|RepNoise,suppressed
1174,3,PB_J|RR|TAR,suppressed
1176,3,RMU-LAT|RR|TAR,suppressed
1178,4,GradDiff|PB_J|RMU-LAT|RepNoise,forgotten|suppressed
1179,4,ELM|GradDiff|PB_J|RepNoise,forgotten|suppressed
1180,4,ELM|GradDiff|RMU-LAT|TAR,forgotten|suppressed
1184,3,PB_J|RR|RepNoise,forgotten|suppressed
1207,1,ELM,suppressed
1216,1,ELM,suppressed
1221,2,ELM|RepNoise,suppressed
1243,3,GradDiff|RMU-LAT|RR,forgotten|suppressed
1253,2,RR|RepNoise,suppressed
1262,3,ELM|RR|RepNoise,forgotten|suppressed
1264,1,RepNoise,forgotten
1271,1,RepNoise,forgotten
